timestamp,schedule_config_version,app_version_code,sim_operator_code,enterprise_id,app_version_name,submission_type,_sourceip,timestamp,success,timestamp,success,bytesin,maxbytesin,bytesout,maxbytesout,timestamp,success,max_average,read_average,timestamp,model,manufacturer,os_version,os_type,timestamp_1,phone_type_1,phone_type_code_1,sim_operator_code_1,connected_1,active_network_type_code_1,network_type_code_1,network_type_1,network_operator_name_1,active_network_type_1,network_operator_code_1,sim_operator_name_1,roaming_1,timestamp_2,phone_type_2,phone_type_code_2,sim_operator_code_2,connected_2,active_network_type_code_2,network_type_code_2,network_type_2,network_operator_name_2,active_network_type_2,network_operator_code_2,sim_operator_name_2,roaming_2,timestamp_3,phone_type_3,phone_type_code_3,sim_operator_code_3,connected_3,active_network_type_code_3,network_type_code_3,network_type_3,network_operator_name_3,active_network_type_3,network_operator_code_3,sim_operator_name_3,roaming_3,timestamp_1,umts_psc_1,signal_strength_1,location_area_code_1,bit_error_rate_1,cell_tower_id_1,timestamp_2,umts_psc_2,signal_strength_2,location_area_code_2,bit_error_rate_2,cell_tower_id_2,timestamp_3,umts_psc_3,signal_strength_3,location_area_code_3,bit_error_rate_3,cell_tower_id_3,timestamp_1,longitude_1,latitude_1,location_type_1,accuracy_1,timestamp_2,longitude_2,latitude_2,location_type_2,accuracy_2,timestamp_3,longitude_3,latitude_3,location_type_3,accuracy_3,timestamp_4,longitude_4,latitude_4,location_type_4,accuracy_4,timestamp,success,number_of_threads,warmup_bytes,warmup_time,transfer_bytes,transfer_time,bytes_sec,target,target_ipaddress,timestamp,success,number_of_threads,warmup_bytes,warmup_time,transfer_bytes,transfer_time,bytes_sec,target,target_ipaddress,timestamp,success,rtt_avg,rtt_min,rtt_max,rtt_stddev,received_packets,lost_packets,target,target_ipaddress
2013-06-12 19:48:32.0,1.1,124,310260,FCC_Operator_testing,1.24,scheduled_tests,208.54.35.213,\N,\N,2013-06-12 19:47:32.0,true,0,10000,0,5000,2013-06-12 19:47:27.0,true,25,1,2013-06-12 19:46:57.0,SGH-T889,samsung,16,android,2013-06-12 19:46:57.0,GSM,1,310260,true,0,13,LTE,T-Mobile,mobile,310260,,false,2013-06-12 19:48:32.0,GSM,1,310260,true,0,13,LTE,T-Mobile,mobile,310260,,false,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2013-06-12 19:46:57.0,0,31,65534,\N,11582209,2013-06-12 19:48:32.0,0,31,65534,\N,11582209,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2013-06-12 19:47:43.0,true,3,2625580,1418468,18380480,8956563,2052180,samknows1.wdc4.level3.net,4.53.112.254,2013-06-12 19:48:00.0,true,3,2622464,1693860,18350592,15029959,1220934,samknows1.wdc4.level3.net,4.53.112.254,2013-06-12 19:48:31.0,true,136340,31447,943842,139828,60,0,samknows1.wdc4.level3.net,4.53.112.254
2013-06-08 07:59:14.0,1.1,124,310260,FCC_Operator_testing,1.24,scheduled_tests,208.54.90.246,\N,\N,2013-06-08 07:58:19.0,true,0,10000,0,5000,2013-06-08 07:58:14.0,true,25,4,2013-06-08 07:57:43.0,SGH-T889,samsung,16,android,2013-06-08 07:57:43.0,GSM,1,310260,true,0,13,LTE,T-Mobile,mobile,310260,,false,2013-06-08 07:59:14.0,GSM,1,310260,true,0,13,LTE,T-Mobile,mobile,310260,,false,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2013-06-08 07:57:43.0,0,31,65534,\N,11582209,2013-06-08 07:59:14.0,0,31,65534,\N,11582209,\N,\N,\N,\N,\N,\N,2013-06-08 07:57:43.0,-77.0295088,38.8829123,network,1357,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2013-06-08 07:58:30.0,true,3,2626605,1375602,18468292,8994184,2053359,samknows2.nyc2.level3.net,4.71.189.190,2013-06-08 07:58:43.0,true,3,2622464,1242065,18350592,11392675,1610736,samknows2.nyc2.level3.net,4.71.189.190,2013-06-08 07:59:13.0,true,145298,37156,714901,112600,60,0,samknows2.nyc2.level3.net,4.71.189.190
2013-06-09 18:12:48.0,1.1,124,310260,FCC_Operator_testing,1.24,scheduled_tests,208.54.90.171,\N,\N,2013-06-09 18:11:20.0,true,0,10000,0,5000,2013-06-09 18:11:15.0,true,25,4,2013-06-09 18:10:45.0,SGH-T889,samsung,16,android,2013-06-09 18:10:45.0,GSM,1,310260,true,0,15,HSPA+,T-Mobile,mobile,310260,,false,2013-06-09 18:12:48.0,GSM,1,310260,true,0,15,HSPA+,T-Mobile,mobile,310260,,false,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2013-06-09 18:10:45.0,426,31,46189,\N,92439437,2013-06-09 18:12:48.0,426,31,46189,\N,92439437,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2013-06-09 18:11:36.0,true,3,2829683,1995767,18251028,11279185,1618115,samknows2.nyc2.level3.net,4.71.189.190,2013-06-09 18:12:17.0,true,3,720384,17003478,1057792,34687352,30495,samknows2.nyc2.level3.net,4.71.189.190,2013-06-09 18:12:47.0,true,68799,33183,790005,94951,60,0,samknows2.nyc2.level3.net,4.71.189.190
2013-06-08 13:55:12.0,1.1,124,310260,FCC_Operator_testing,1.24,scheduled_tests,208.54.90.246,\N,\N,2013-06-08 13:54:16.0,true,0,10000,0,5000,2013-06-08 13:54:11.0,true,25,4,2013-06-08 13:53:41.0,SGH-T889,samsung,16,android,2013-06-08 13:53:41.0,GSM,1,310260,true,0,13,LTE,T-Mobile,mobile,310260,,false,2013-06-08 13:55:12.0,GSM,1,310260,true,0,13,LTE,T-Mobile,mobile,310260,,false,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2013-06-08 13:53:41.0,0,31,65534,\N,11582209,2013-06-08 13:55:12.0,0,31,65534,\N,11582209,\N,\N,\N,\N,\N,\N,2013-06-08 13:53:41.0,-77.0295088,38.8829123,network,1357,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2013-06-08 13:54:28.0,true,3,2628378,1407239,18591468,9111589,2040419,samknows2.nyc2.level3.net,4.71.189.190,2013-06-08 13:54:41.0,true,3,2622464,1325757,18350592,11638126,1576765,samknows2.nyc2.level3.net,4.71.189.190,2013-06-08 13:55:11.0,true,136339,38690,660277,114852,60,0,samknows2.nyc2.level3.net,4.71.189.190
2013-06-08 19:51:22.0,1.1,124,310260,FCC_Operator_testing,1.24,scheduled_tests,208.54.90.246,\N,\N,2013-06-08 19:50:25.0,true,0,10000,0,5000,2013-06-08 19:50:20.0,true,25,3,2013-06-08 19:49:50.0,SGH-T889,samsung,16,android,2013-06-08 19:49:50.0,GSM,1,310260,true,0,13,LTE,T-Mobile,mobile,310260,,false,2013-06-08 19:51:22.0,GSM,1,310260,true,0,13,LTE,T-Mobile,mobile,310260,,false,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2013-06-08 19:49:50.0,0,31,65534,\N,11582209,2013-06-08 19:51:22.0,0,31,65534,\N,11582209,\N,\N,\N,\N,\N,\N,2013-06-08 19:49:50.0,-77.0295088,38.8829123,network,1357,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2013-06-08 19:50:36.0,true,3,2632680,1365483,18356340,8890923,2064615,samknows2.nyc2.level3.net,4.71.189.190,2013-06-08 19:50:50.0,true,3,2622464,1389922,18350592,12297732,1492193,samknows2.nyc2.level3.net,4.71.189.190,2013-06-08 19:51:21.0,true,124772,36067,692693,101849,60,0,samknows2.nyc2.level3.net,4.71.189.190
2013-06-09 09:03:08.0,1.1,124,310260,FCC_Operator_testing,1.24,scheduled_tests,208.54.90.171,\N,\N,2013-06-09 09:02:08.0,true,0,10000,0,5000,2013-06-09 09:02:03.0,true,25,4,2013-06-09 09:01:33.0,SGH-T889,samsung,16,android,2013-06-09 09:01:33.0,GSM,1,310260,true,0,13,LTE,T-Mobile,mobile,310260,,false,2013-06-09 09:03:07.0,GSM,1,310260,true,0,13,LTE,T-Mobile,mobile,310260,,false,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2013-06-09 09:01:33.0,0,31,65534,\N,11582209,2013-06-09 09:03:07.0,0,31,65534,\N,11582209,\N,\N,\N,\N,\N,\N,2013-06-09 09:01:33.0,-77.0295088,38.8829123,network,1357,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2013-06-09 09:02:23.0,true,3,2739560,1521523,18243172,12306739,1482372,samknows2.nyc2.level3.net,4.71.189.190,2013-06-09 09:02:36.0,true,3,2622464,1266757,18350592,11913186,1540359,samknows2.nyc2.level3.net,4.71.189.190,2013-06-09 09:03:07.0,true,132106,37128,546443,88970,60,0,samknows2.nyc2.level3.net,4.71.189.190
2013-06-14 07:28:33.0,1.1,124,310260,FCC_Operator_testing,1.24,scheduled_tests,208.54.90.215,\N,\N,2013-06-14 07:27:40.0,true,0,10000,0,5000,2013-06-14 07:27:35.0,true,25,1,2013-06-14 07:27:04.0,SGH-T889,samsung,16,android,2013-06-14 07:27:04.0,GSM,1,310260,true,0,13,LTE,T-Mobile,mobile,310260,,false,2013-06-14 07:28:33.0,GSM,1,310260,true,0,13,LTE,T-Mobile,mobile,310260,,false,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2013-06-14 07:27:04.0,0,31,65534,\N,11582209,2013-06-14 07:28:33.0,0,31,65534,\N,11582209,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2013-06-14 07:27:51.0,true,3,2645876,1414449,18333424,8895819,2060903,samknows1.wdc4.level3.net,4.53.112.254,2013-06-14 07:28:02.0,true,3,2622464,1224255,18350592,9967257,1841087,samknows1.wdc4.level3.net,4.53.112.254,2013-06-14 07:28:33.0,true,128539,37974,536844,91730,60,0,samknows1.wdc4.level3.net,4.53.112.254
2013-06-12 08:58:06.0,1.1,124,310260,FCC_Operator_testing,1.24,scheduled_tests,208.54.35.159,\N,\N,2013-06-12 08:57:10.0,true,0,10000,0,5000,2013-06-12 08:57:06.0,true,25,3,2013-06-12 08:56:35.0,SGH-T889,samsung,16,android,2013-06-12 08:56:35.0,GSM,1,310260,true,0,13,LTE,T-Mobile,mobile,310260,,false,2013-06-12 08:58:05.0,GSM,1,310260,true,0,13,LTE,T-Mobile,mobile,310260,,false,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2013-06-12 08:56:35.0,0,27,65534,\N,11582209,2013-06-12 08:58:05.0,0,27,65534,\N,11582209,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2013-06-12 08:57:22.0,true,3,2626436,1356580,18353568,8937229,2053608,samknows1.wdc4.level3.net,4.53.112.254,2013-06-12 08:57:34.0,true,3,2622464,1135964,18350592,11299525,1624014,samknows1.wdc4.level3.net,4.53.112.254,2013-06-12 08:58:05.0,true,123136,29409,348834,86240,60,0,samknows1.wdc4.level3.net,4.53.112.254
2013-06-10 16:21:09.0,1.1,124,310260,FCC_Operator_testing,1.24,manual_test,208.54.90.173,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2013-06-10 16:20:13.0,SGH-T889,samsung,16,android,2013-06-10 16:20:13.0,GSM,1,310260,true,0,13,LTE,T-Mobile,mobile,310260,,false,2013-06-10 16:21:09.0,GSM,1,310260,true,0,13,LTE,T-Mobile,mobile,310260,,false,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2013-06-10 16:20:13.0,0,27,65534,\N,11582209,2013-06-10 16:21:09.0,0,27,65534,\N,11582209,\N,\N,\N,\N,\N,\N,2013-06-10 16:20:14.0,-77.0295088,38.8829123,network,1357,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2013-06-10 16:20:24.0,true,3,2626065,1306494,18360600,8797789,2086956,samknows1.wdc4.level3.net,4.53.112.254,2013-06-10 16:20:38.0,true,3,2622464,1481747,18350592,12674666,1447816,samknows1.wdc4.level3.net,4.53.112.254,2013-06-10 16:21:09.0,true,120469,35928,761212,93832,60,0,samknows1.wdc4.level3.net,4.53.112.254
2013-06-10 16:35:14.0,1.1,124,310260,FCC_Operator_testing,1.24,manual_test,208.54.90.173,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2013-06-10 16:34:23.0,SGH-T889,samsung,16,android,2013-06-10 16:34:23.0,GSM,1,310260,true,0,13,LTE,T-Mobile,mobile,310260,,false,2013-06-10 16:35:14.0,GSM,1,310260,true,0,13,LTE,T-Mobile,mobile,310260,,false,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2013-06-10 16:34:23.0,0,27,65534,\N,11582209,2013-06-10 16:35:14.0,0,30,65534,\N,11582209,\N,\N,\N,\N,\N,\N,2013-06-10 16:34:23.0,-77.0295088,38.8829123,network,1357,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2013-06-10 16:34:33.0,true,3,2639780,1221377,18336460,7860565,2332715,samknows1.wdc4.level3.net,4.53.112.254,2013-06-10 16:34:43.0,true,3,2622464,1179538,18350592,9228317,1988509,samknows1.wdc4.level3.net,4.53.112.254,2013-06-10 16:35:14.0,true,138154,30845,781972,114262,60,0,samknows1.wdc4.level3.net,4.53.112.254
